date,fluxobsflux,fluxadjflux,fluxursi
2022-02-06,123.56666666666666,120.16666666666667,108.10000000000001
2022-02-07,125.03333333333335,121.60000000000001,109.5
2022-02-08,122.36666666666667,119.06666666666666,107.16666666666667
2022-02-09,123.63333333333333,120.36666666666667,108.33333333333333
2022-02-10,116.2,113.16666666666667,101.83333333333333
2022-02-11,112.73333333333333,109.83333333333333,98.86666666666667
2022-02-12,111.39999999999999,108.56666666666666,97.7
2022-02-13,106.53333333333335,103.86666666666667,93.46666666666665
2022-02-14,108.46666666666665,105.8,95.2
2022-02-15,113.16666666666667,110.39999999999999,99.36666666666667
2022-02-16,102.96666666666665,100.5,90.43333333333334
2022-02-17,97.13333333333333,94.83333333333333,85.33333333333333
2022-02-18,92.83333333333333,90.66666666666667,81.60000000000001
2022-02-19,94.76666666666667,92.60000000000001,83.33333333333333
2022-02-20,94.39999999999999,92.3,83.06666666666666
2022-02-21,96.16666666666667,94.03333333333335,84.66666666666667
2022-02-22,95.2,93.13333333333333,83.83333333333333
2022-02-23,95.83333333333333,93.8,84.43333333333334
2022-02-24,92.89999999999999,91.03333333333335,81.89999999999999
2022-02-25,96.86666666666667,94.89999999999999,85.39999999999999
2022-02-26,96.96666666666665,95.13333333333333,85.60000000000001
2022-02-27,97.03333333333335,95.2,85.7
2022-02-28,100.2,98.33333333333333,88.5
2022-03-01,100.96666666666665,99.13333333333333,89.2
2022-03-02,108.13333333333333,106.26666666666667,95.60000000000001
2022-03-03,111.76666666666667,109.86666666666667,98.86666666666667
2022-03-04,115.66666666666667,113.73333333333333,102.36666666666667
2022-03-05,118.76666666666665,116.86666666666667,105.13333333333333
2022-03-06,115.33333333333333,113.53333333333335,102.2
2022-03-07,118.7,116.89999999999999,105.2
2022-03-08,115.13333333333333,113.43333333333334,102.10000000000001
2022-03-09,114.5,112.86666666666667,101.60000000000001
2022-03-10,125.03333333333335,123.33333333333333,111.03333333333335
2022-03-11,128.5,126.83333333333333,114.13333333333333
2022-03-12,124.16666666666667,122.56666666666666,110.3
2022-03-13,120.46666666666665,119.0,107.10000000000001
2022-03-14,116.10000000000001,114.8,103.26666666666667
2022-03-15,113.0,111.76666666666667,100.53333333333335
2022-03-16,107.16666666666667,106.06666666666666,95.43333333333334
2022-03-17,102.76666666666667,101.73333333333333,91.56666666666666
2022-03-18,97.33333333333333,96.39999999999999,86.73333333333333
2022-03-19,95.89999999999999,95.06666666666666,85.53333333333335
2022-03-20,94.33333333333333,93.53333333333335,84.2
2022-03-21,96.03333333333335,95.33333333333333,85.76666666666667
2022-03-22,102.06666666666668,101.36666666666667,91.2
2022-03-23,106.8,106.06666666666666,95.46666666666665
2022-03-24,112.53333333333335,111.86666666666667,100.66666666666667
2022-03-25,112.0,111.39999999999999,100.23333333333333
2022-03-26,118.625,118.075,106.25
2022-03-27,130.33333333333334,129.79999999999998,116.83333333333333
2022-03-28,150.6,150.0666666666667,135.06666666666666
2022-03-29,148.53333333333333,148.1,133.26666666666668
2022-03-30,150.5,150.13333333333333,135.1
2022-03-31,179.33333333333334,178.96666666666667,161.06666666666666
2022-04-01,148.66666666666666,148.46666666666667,133.63333333333335
2022-04-02,143.29999999999998,143.16666666666666,128.9
2022-04-03,138.23333333333332,138.20000000000002,124.36666666666667
2022-04-04,128.53333333333333,128.53333333333333,115.7
2022-04-05,122.0,122.10000000000001,109.89999999999999
2022-04-06,116.46666666666665,116.63333333333333,104.96666666666665
2022-04-07,110.76666666666667,110.96666666666665,99.86666666666667
2022-04-08,107.43333333333334,107.73333333333333,96.93333333333334
2022-04-09,105.53333333333335,105.93333333333334,95.3
2022-04-10,100.06666666666666,100.43333333333334,90.39999999999999
2022-04-11,99.86666666666667,100.3,90.23333333333333
2022-04-12,96.7,97.16666666666667,87.46666666666665
2022-04-13,97.63333333333333,98.16666666666667,88.33333333333333
2022-04-14,103.26666666666667,103.86666666666667,93.5
2022-04-15,110.26666666666667,110.96666666666665,99.89999999999999
2022-04-16,121.23333333333333,122.10000000000001,109.89999999999999
2022-04-17,132.26666666666668,133.23333333333335,119.93333333333334
2022-04-18,140.1,141.20000000000002,127.10000000000001
2022-04-19,159.4333333333333,160.83333333333334,144.79999999999998
2022-04-20,165.63333333333333,167.16666666666666,150.43333333333334
2022-04-21,166.53333333333333,168.16666666666666,151.36666666666667
